#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
happiness,3,2,1,2
sadness,3,2,1,2
death,3,1,2,1
tragedy,3,1,2,1
love,3,2,1,2
adventure,3,2,1,1
sweet,3,2,1,1
excitement,3,2,1,1
fireworks,3,2,1,1
romance,3,2,1,2
tears,3,1,2,1
depression,3,1,2,1
heart,3,2,1,2
marriage,3,2,1,1
childhood,3,2,1,1
fun,3,2,1,1
color,3,2,1,1
hope,3,1,2,2
friends,3,2,1,2
family,3,2,1,2
party,3,2,1,2
vacation,3,2,1,1
lazy,3,2,1,1
daydream,3,1,2,1
pain,3,1,2,2
holiday,3,2,1,1
bed,3,2,1,1
feather,3,2,1,1
shame,3,1,2,1
fear,3,1,2,1
warm,3,2,1,1
flower,3,2,1,1
comfort,3,2,1,2
dance,3,2,1,1
sing,3,2,1,2
cry,3,1,2,1
laugh,3,2,1,1
dark,3,1,2,1
sunny,3,2,1,1
raincloud,3,2,1,1
calm,3,1,2,1
silly,3,2,1,1
flying,3,2,1,1
wonderful,3,2,1,2
unrequited,3,1,2,1
rose,3,1,2,1
together,3,2,1,2
promise,3,2,1,2
charm,3,2,1,1
beauty,3,2,1,2
cheer,3,2,1,1
smile,3,2,1,2
broken,3,1,2,1
precious,3,2,1,1
prayer,3,1,2,1
clumsy,3,2,1,1
forgive,3,1,2,1
nature,3,2,1,1
ocean,3,2,1,1
dazzle,3,2,1,1
special,3,2,1,1
music,3,2,1,2
lucky,3,2,1,1
misfortune,3,1,2,1
loud,3,2,1,1
peaceful,3,1,2,1
joy,3,1,2,2
sunset,3,2,1,1
fireflies,3,2,1,1
rainbow,3,2,1,1
hurt,3,1,2,2
play,3,2,1,1
sparkle,3,2,1,1
scars,3,1,2,1
empty,3,1,2,2
amazing,3,2,1,1
grief,3,1,2,1
embrace,3,1,2,1
extraordinary,3,2,1,1
awesome,3,2,1,1
defeat,3,1,2,1
hopeless,3,1,2,1
misery,3,1,2,1
treasure,3,2,1,2
bliss,3,2,1,2
memories,3,2,1,1

#Natsuki's words
cute,2,3,1,1
fluffy,2,3,1,1
pure,1,3,2,1
